,,area,decoration_level,distance_to_metro,house_price,num_floor,rooms,unit_price
0,,56.37, ,793,260,6,3,46124
1,,71, ,545,650,16,4,91549
2,,89.99,中装,659,598,23,3,66452
3,,57.04,中装,370,380,6,3,66620
4,,64.77,简装,616,140,16,3,21615
5,,73.63, ,426,380,18,3,51609
6,,75.03, ,153,465,16,3,61975
7,,139.09,简装,230,1200,25,5,86275
8,,85.37,简装,559,850,18,3,99567
9,,75.95,中装,502,630,18,4,82949
10,,63.43,毛坯,757,370,6,3,58332
11,,62.72,中装,541,440,27,3,70153
12,,67.13,中装,971,339,6,3,50499
13,,138.69,中装,364,920,19,5,66335
14,,49.47, ,524,220,28,2,44471
15,,59.6, ,975,340,18,3,57047
16,,93.85, ,437,600,27,4,63932
17,,59.51,简装,280,363,6,3,60998
18,,84.47, ,420,370,7,4,43803
19,,95.5,中装,1301,320,6,3,33508
20,,61.25,精装,398,470,6,3,76735
21,,85.18,中装,966,260,6,3,30524
22,,90.55,简装,417,690,21,4,76201
23,,90.98,精装,208,560,26,5,61552
24,,82.85,简装,109,570,6,4,68799
25,,84.98,简装,426,430,18,3,50600
26,,58.03,毛坯,1030,380,6,3,65483
27,,127.17,精装, ,478,6,5,37587
28,,39.1,精装,1291,580,16,2,148338
29,,79.55,中装,1395,420,6,4,52797
30,,65.25,简装,565,460,6,3,70498
31,,93,精装,541,585,28,3,62903
32,,78.18,中装,272,238,13,2,30443
33,,53.11,简装,502,423,6,3,79646
34,,79.76,简装,549,375,18,3,47016
35,,48.76,精装,888,360,6,3,73831
36,,58.45,精装,745,399,6,3,68263
37,,80.67,中装,356,470,30,3,58262
38,,75.57,中装,368,566,25,4,74897
39,,46,简装,1148,575,5,3,125000
40,,117.49,精装,259,1300,20,5,110648
41,,58.49,精装,563,450,6,4,76936
42,,122.49,精装,447,950,14,3,77557
43,,64.59,简装,1000,330,15,3,51092
44,,63.36,中装,549,295,24,2,46559
45,,93.12,中装,966,580,16,3,62285
46,,67.04,中装,521,340,6,3,50716
47,,80.84,精装,1255,410,15,3,50717
48,,93.61,简装,736,510,20,4,54481
49,,111.52,精装,652,770,14,4,69046
50,,82,精装,591,943,5,4,115000
51,,59.97,中装,841,420,16,3,70035
52,,59.24,精装,431,355,14,4,59926
53,,71.12,中装,208,420,22,4,59055
54,,61.8,简装,1390,850,6,3,137540
55,,52,简装,719,700,24,2,134615
56,,75.03,精装,222,450,14,2,59976
57,,44.8,精装,1291,610,6,2,136161
58,,65.7,中装,389,345,12,3,52511
59,,67.5,精装,717,360,6,4,53333
60,,69.93,中装,907,450,10,3,64350
61,,178.55,精装,230,960,25,5,53766
62,,132.27,中装,1000,660,15,5,49898
63,,52.94,精装,1093,260,5,3,49112
64,,90.74,简装,550,270,14,4,29755
65,,58.9,精装,434,480,6,3,81494
66,,64.55,中装,1111,438,21,3,67854
67,,91.85,精装,261,700,12,5,76211
68,,40.99,精装,386,280,6,3,68309
69,,89.9,精装,684,836,16,4,92992
70,,103.01,精装,211,615,24,4,59703
71,,61.5,精装,449,565,6,3,91870
72,,36.43,精装,391,270,6,2,74115
73,,57.02,中装,1,310,6,3,54367
74,,64.27,中装,858,345,27,2,53680
75,,97.56,精装,763,410,6,3,42025
76,,104.55,中装,926,700,16,3,66954
77,,55.85,精装,540,388,6,3,69472
78,,76.6,中装,141,574,6,4,74935
79,,80.2,毛坯,368,595,25,4,74190
80,,65.38,简装,833,520,6,3,79535
81,,72.7,中装,1390,900,16,4,123796
82,,60.64,精装,462,630,6,3,103892
83,,71.5,精装,248,520,6,5,72727
84,,155.61,精装, ,1000,9,6,64263
85,,107,中装,509,660,20,4,61682
86,,40.8,精装,304,288,24,2,70588
87,,92.57,中装,689,550,28,3,59414
88,,83.25,精装, ,285,15,3,34234
89,,59.45,精装,1108,420,6,3,70648
90,,62.01,精装,509,430,16,3,69344
91,,92.38,中装,487,745,14,4,80645
92,,168.49,精装,751,1180,28,4,70034
93,,53.2,中装,538,765,6,3,143797
94,,77.53,简装,1097,950,14,3,122533
95,,87.03,中装,759,399,13,3,45846
96,,65,精装,541,425,26,3,65385
97,,89.25,精装,490,566,17,3,63417
98,,70.32,精装,487,499,6,4,70961
99,,64.37,简装, ,250,6,3,38838
100,,46.81,简装,408,310,6,2,66225
101,,64,中装,250,405,5,4,63281
102,,59.8,精装,276,620,12,3,103679
103,,96.51,中装, ,434,6,4,44969
104,,56.8,中装,934,730,5,4,128521
105,,68.41,中装,258,470,18,3,68703
106,,90.96,精装,595,510,24,3,56069
107,,42.3,精装,595,249,24,2,58865
108,,65,简装,1390,850,6,2,130769
109,,108.91,精装,993,345,9,4,31678
110,,127.09,中装,289,970,20,4,76324
111,,77.54,中装,563,620,20,5,79959
112,,52.97,精装,957,380,6,3,71739
113,,62.52,精装,409,380,18,3,60781
114,,136.82,精装, ,850,9,5,62125
115,,64.54,简装,541,405,27,3,62752
116,,49.06,精装,274,460,11,2,93763
117,,90.4,简装,433,750,22,3,82965
118,,97,简装,1424,1280,14,3,131959
119,,59.46,中装,900,388,22,3,65254
120,,50,精装,1390,669,6,2,133800
121,,56.65,中装,1108,380,6,3,67079
122,,45.9,中装,290,600,6,2,130719
123,,62.2,中装,827,595,15,3,95659
124,,60.44,中装,714,440,6,3,72799
125,,99.62,中装,568,850,22,5,85324
126,,122.15,精装,426,680,22,5,55669
127,,59.94,中装,1102,450,24,2,75075
128,,86.74,简装,370,558,18,4,64330
129,,52.04,精装,595,320,5,3,61491
130,,40,简装,644,320,6,2,80000
131,,64.95,精装,502,530,12,3,81601
132,,105.5,简装,1079,1403,18,3,132986
133,,57.12,中装,733,348,24,2,60924
134,,113.25, ,595,680,24,5,60044
135,,66.6,中装,741,399,12,3,59910
136,,63.55, ,633,410,16,3,64516
137,,74.89, ,975,398,12,4,53145
138,,79, ,975,774,9,3,97975
139,,60.76, ,775,440,6,4,72416
140,,57.87, ,420,311,6,3,53741
141,,67.9, ,827,610,15,4,89838
142,,77.1,简装,235,290,6,3,37613
143,,81.78, ,420,440,18,4,53803
144,,103.8,中装,892,600,8,4,57803
145,,183.6, ,701,1300,6,5,70806
146,,60.33, ,206,680,7,3,112713
147,,59.23,简装,381,465,6,3,78508
148,,44.2, ,455,480,16,2,108597
149,,73.87, ,420,300,6,4,40612
150,,56.37,简装,793,300,6,3,53220
151,,75.21, ,777,275,6,3,36564
152,,41.97, ,1006,197,7,2,46938
153,,54.65, ,633,380,6,3,69533
154,,86.3,简装,446,960,6,4,111240
155,,74.75,精装,334,460,27,2,61538
156,,69.2,中装,1193,980,11,3,141618
157,,149,中装,392,1450,9,5,97315
158,,95.75,精装,272,330,14,4,34465
159,,81.77, ,434,315,15,3,38523
160,,93.64, ,1272,408,15,4,43571
161,,121.9, ,880,1180,15,3,96801
162,,70.18,精装,392,730,6,3,104018
163,,147.5, ,289,750,31,5,50847
164,,80.32, ,241,499,6,4,62126
165,,68.51, ,371,450,6,4,65684
166,,50.26,简装, ,170,5,3,33824
167,,120.5, ,631,660,30,5,54772
168,,58.05,精装,741,340,6,3,58570
169,,81.75, , ,449,11,4,54924
170,,57.91, ,268,345,6,3,59575
171,,147.25,简装,482,1200,29,5,81494
172,,156.13,中装,258,1150,22,5,73657
173,,60.7, ,492,430,17,3,70840
174,,82.31, ,461,535,14,4,64998
175,,66.1,精装,428,360,18,3,54463
176,,57.81,精装,954,290,6,2,50164
177,,57.6,中装,679,465,6,3,80729
178,,109.19,简装,750,763,14,3,69878
179,,49.2,简装,688,650,5,3,132114
180,,67.25,精装,1116,595,16,3,88476
181,,128.68,精装,892,772,9,5,59994
182,,125.16,中装,317,680,23,3,54330
183,,97.1,精装,541,585,27,4,60247
184,,85.48,简装,396,450,18,4,52644
185,,87.14,精装,1006,330,6,4,37870
186,,91.65,中装,327,362,32,3,39498
187,,161.27,精装,733,919,24,5,56985
188,,38.36,精装,741,260,6,2,67779
189,,157.3, ,535,1680,14,6,106802
190,,72.1, ,736,430,18,3,59639
191,,67.5, ,679,550,6,4,81481
192,,138.77, ,364,930,13,5,67017
193,,47.53,精装,829,365,21,2,76794
194,,108.68,中装,326,850,11,5,78211
195,,66.75,中装,420,370,6,3,55431
196,,50.83,精装,1034,410,6,3,80661
197,,140.26,精装, ,850,9,5,60602
198,,69.83,中装,515,600,6,4,85923
199,,38.05,简装, ,150,5,2,39422
200,,89.84,精装, ,560,17,4,62333
201,,87.31,简装, ,348,10,4,39858
202,,62.04,简装,1152,435,22,3,70116
203,,76.15,中装,1000,410,22,2,53841
204,,76.76,精装,501,525,6,3,68395
205,,89.21,精装,966,463,6,3,51900
206,,37.75,精装,530,436,22,2,115497
207,,118.52,精装, ,1066,27,4,89943
208,,68.1,简装,371,405,5,4,59471
209,,55.32,简装,774,388,6,3,70137
210,,88.8,毛坯,674,440,27,3,49550
211,,91.61,简装,771,282,6,4,30783
212,,92.5,简装,481,650,28,3,70270
213,,54.11,中装,426,320,6,3,59139
214,,90.42, ,259,990,18,5,109489
215,,64.08, ,840,608,6,4,94881
216,,96.56,豪装, ,630,9,5,65244
217,,39.1,简装,610,500,18,2,127877
218,,50.22, ,868,305,6,3,60733
219,,74.22,中装, ,260,6,3,35031
220,,53.73,中装,697,415,7,3,77238
221,,71.47, ,426,393,18,3,54988
222,,65.3, ,655,718,6,3,109954
223,,43.77,精装,605,399,17,2,91158
224,,52.5, ,666,360,12,3,68571
225,,75.21,简装,1232,278,6,3,36963
226,,70.17, ,693,415,6,4,59142
227,,57.77,中装,454,248,5,2,42929
228,,61.99, ,1053,310,6,3,50008
229,,70.5, ,1035,765,16,3,108511
230,,71.81, ,417,500,18,3,69628
231,,98.53, ,426,429,21,3,43540
232,,93.1, ,891,599,24,3,64339
233,,64, ,245,600,16,3,93750
234,,51.18, ,315,218,30,2,42595
235,,135.68, ,162,590,21,5,43485
236,,49.6,中装,676,545,5,3,109879
237,,173.3,简装,706,1150,28,6,66359
238,,87.3,简装,550,306,6,3,35052
239,,43.6,精装,431,279.9,6,2,64197
240,,77.33,精装, ,410,6,3,53020
241,,103.1,精装,259,930,26,3,90204
242,,76.56,中装,608,650,28,3,84901
243,,112.95,精装,607,850,24,4,75255
244,,82.31,中装,1142,340,4,5,41307
245,,60.62,简装,868,495,18,3,81656
246,,65.62,精装,676,455,27,3,69339
247,,59.17,精装,958,360,6,3,60842
248,,37.69,中装,461,248,6,2,65800
249,,44,精装,679,398,5,3,90455
250,,55.08,中装,793,420,6,3,76253
251,,54.7,精装,1255,745,6,3,136197
